model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,status,reasoning,sources,verified,last_updated,notes,blacklist_status,original_estimate
claude_opus_4,Anthropic,,175000000000.0,known_specification:claude_opus,1.5000000000000002e+26,low,Speculative research estimate,epoch_estimate,Scaling Laws: 8.40e+24 (Medium); Benchmark Based: 4.67e+25 (Medium),high_confidence_above_1e25,uncertain,https://epoch.ai/data-insights/models-over-1e25-flop: Speculative estimate for next-gen Claude,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.102414,,,
gpt_4.5_preview,OpenAI,,1760000000000.0,known_specification:gpt_4,6.4e+25,low,Speculative research estimate,epoch_estimate,Scaling Laws: 1.37e+26 (Medium); Benchmark Based: 5.01e+25 (Medium),high_confidence_above_1e25,uncertain,https://epoch.ai/data-insights/models-over-1e25-flop: Low-precision estimate for GPT-4.5,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.101799,,,
gemini_2.0_flash,Google,,500000000000.0,,6.000000000000001e+25,low,,scaling_laws,,high_confidence_above_1e25,uncertain,"Known model specification: Chinchilla scaling law: 6 × 500,000,000,000 params × 20,000,000,000,000 tokens = 6.00e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-07-31T18:56:49.505562,,,
gemini_2.0_flash_001,Google,,500000000000.0,known_specification:gemini_2.0,5.999999999999999e+25,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 4.07e+25 (Medium),high_confidence_above_1e25,uncertain,"Known model specification 'gemini_2.0': Chinchilla scaling law: 6 × 500,000,000,000 params × 20,000,000,000,000 tokens = 6.00e+25 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),,2025-08-01T19:50:21.104722,,,
gemini_2.0_pro,Google,,500000000000.0,known_specification:gemini_2.0,5.999999999999999e+25,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 4.79e+25 (Medium),high_confidence_above_1e25,uncertain,"Known model specification 'gemini_2.0': Chinchilla scaling law: 6 × 500,000,000,000 params × 20,000,000,000,000 tokens = 6.00e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.125808,,,
gemini_2.5_flash,Google,,500000000000.0,known_specification:gemini_2,5.999999999999999e+25,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 5.01e+25 (Medium),high_confidence_above_1e25,uncertain,"Known model specification 'gemini_2': Chinchilla scaling law: 6 × 500,000,000,000 params × 20,000,000,000,000 tokens = 6.00e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.102659,,,
gemini_2.5_pro,Google,,500000000000.0,known_specification:gemini_2,5.999999999999999e+25,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 5.61e+25 (Medium),high_confidence_above_1e25,uncertain,"Known model specification 'gemini_2': Chinchilla scaling law: 6 × 500,000,000,000 params × 20,000,000,000,000 tokens = 6.00e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.101269,,,
deepseek_v2_api,DeepSeek,,671000000000.0,known_specification:deepseek,5.959999999999999e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.44e+25 (Medium),high_confidence_above_1e25,likely_above_1e25,"Known model specification 'deepseek': Chinchilla scaling law: 6 × 671,000,000,000 params × 14,800,000,000,000 tokens = 5.96e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.130737,,,
grok_4,xAI,,,,5.24e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,high_confidence_above_1e25,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 5.28e+25 (Low); coding_score: 5.20e+25 (Low) → weighted average: 5.24e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.101924,,,
o3,OpenAI,,,,5.22e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,high_confidence_above_1e25,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 5.20e+25 (Low); coding_score: 5.23e+25 (Low) → weighted average: 5.22e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.101479,,,
grok_3,xAI,,,,5.16e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,high_confidence_above_1e25,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 5.16e+25 (Low); coding_score: 5.17e+25 (Low) → weighted average: 5.16e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T19:50:21.102531,,,
o1,OpenAI,,,,5.559999999999999e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,,likely_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.55e+25 (Medium); coding_score: 4.54e+25 (Medium); aai_score: 8.88e+25 (Low); mmlu_pro_score: 5.38e+25 (Medium) → weighted average: 5.56e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T20:23:58.108270,Added to staging by manual review. Reason: Known large reasoning model,allowed,
gpt_5,OpenAI,,,,5.47e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,,likely_above_1e25,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 5.94e+25 (Medium); superclue_math: 5.70e+25 (Medium); superclue_reasoning: 2.77e+25 (Medium); superclue_code: 6.24e+25 (Medium); superclue_agents: 6.69e+25 (Medium) → weighted average: 5.47e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-11T21:33:30.575986,Added to staging by manual review. Reason: I just know GPT5 must be big!,allowed,
